Date,MMM,AXP,AMGN,AAPL,BA,CAT,CVX,CSCO,KO,DIS,GS,HD,HON,IBM,INTC,JNJ,JPM,MCD,MRK,MSFT,NKE,PG,CRM,TRV,UNH,VZ,V,WBA,WMT
2008-03-19,54.27149200439453,33.48689651489258,30.90805435180664,3.9705188274383545,54.09454345703125,50.00381088256836,47.751399993896484,17.922313690185547,19.51981544494629,26.50347328186035,136.4376983642578,18.987403869628906,38.1570930480957,72.88471984863281,13.943843841552734,43.15198516845703,30.05705451965332,35.91182327270508,24.798242568969727,21.289880752563477,12.970128059387207,44.84263610839844,14.15250015258789,32.93090057373047,29.601980209350586,16.877592086791992,12.849034309387207,26.16326904296875,37.07331848144531
2008-03-20,53.25395202636719,36.66017150878906,31.01630973815918,4.080753803253174,55.08878707885742,50.06483840942383,48.521114349365234,18.142045974731445,19.871408462524414,27.06340789794922,147.20587158203125,19.850461959838867,37.58934020996094,73.75109100341797,14.38021183013916,43.48454284667969,32.534088134765625,36.420448303222656,25.01167106628418,21.70645523071289,14.111281394958496,45.874271392822266,13.957500457763672,33.910091400146484,29.41046714782715,17.353227615356445,14.634251594543457,26.450929641723633,38.86201095581055
2008-03-24,53.70466995239258,37.800331115722656,31.68906593322754,4.272434234619141,56.186134338378906,51.56367111206055,48.987586975097656,18.77924346923828,19.91698455810547,27.18218231201172,146.59127807617188,20.699392318725586,38.087833404541016,74.2060546875,14.631449699401855,43.15866470336914,32.944557189941406,37.32392501831055,25.52505111694336,21.699007034301758,14.490968704223633,46.271026611328125,14.90999984741211,33.839149475097656,29.735218048095703,17.7615966796875,13.583585739135742,27.767017364501953,39.1540412902832
2008-03-25,53.93688201904297,37.880062103271484,31.580808639526367,4.316833972930908,55.8989143371582,51.97736740112305,49.29664993286133,18.85980987548828,19.991865158081055,27.216115951538086,147.20587158203125,20.345666885375977,38.77330780029297,73.52667999267578,14.724013328552246,42.932533264160156,32.5977783203125,37.611717224121094,25.767322540283203,21.676692962646484,14.342024803161621,45.98668670654297,15.239999771118164,33.88880920410156,29.377153396606445,17.72796058654785,14.384093284606934,27.33551025390625,38.73059844970703
2008-03-26,53.71833801269531,36.16584777832031,32.47782897949219,4.441762924194336,56.193504333496094,52.465675354003906,49.54155349731445,18.149364471435547,19.907217025756836,26.94463348388672,143.80490112304688,19.921205520629883,38.517127990722656,72.86603546142578,14.452937126159668,43.03228759765625,31.217710494995117,37.210166931152344,25.784616470336914,21.24524688720703,13.901507377624512,46.052818298339844,14.8100004196167,33.73980712890625,28.39458656311035,17.36283302307129,14.54555892944336,27.29954719543457,38.6210823059082
2008-03-27,53.17200469970703,35.7432746887207,32.08344650268555,4.294480800628662,54.66163635253906,52.24186706542969,49.215023040771484,17.709915161132812,19.959300994873047,26.62224769592285,137.7898712158203,19.65946388244629,38.08092498779297,71.99967956542969,13.943843841552734,42.979068756103516,30.333049774169922,37.10978698730469,25.83078384399414,20.865859985351562,13.840675354003906,45.90071487426758,14.157500267028809,33.67593765258789,28.311323165893555,17.276351928710938,14.30677318572998,26.79613494873047,38.2341423034668
2008-03-28,53.23345947265625,34.403804779052734,32.05251693725586,4.378993511199951,54.10926818847656,52.282562255859375,49.2733268737793,17.636667251586914,19.838851928710938,26.299861907958984,134.76589965820312,19.369421005249023,38.6694450378418,71.40758514404297,13.745498657226562,42.68641662597656,30.226884841918945,37.129844665527344,25.67502212524414,20.761722564697266,13.815503120422363,45.920555114746094,14.212499618530273,33.64754104614258,28.644397735595703,17.223508834838867,14.272660255432129,26.918392181396484,38.051612854003906
2008-03-31,54.05299377441406,34.85826110839844,32.307708740234375,4.393996715545654,54.772090911865234,53.09641647338867,49.77479934692383,17.643993377685547,19.816070556640625,26.62224769592285,135.53628540039062,19.786802291870117,39.064109802246094,71.7628402709961,14.00334644317627,43.14534378051758,30.396753311157227,37.32392501831055,21.890972137451172,21.111343383789062,14.264410972595215,46.33717727661133,14.467499732971191,33.952667236328125,28.636058807373047,17.511764526367188,14.181696891784668,27.39304542541504,38.460479736328125
2008-04-01,55.534908294677734,37.545188903808594,32.6015510559082,4.578636646270752,55.8841552734375,54.242576599121094,50.579505920410156,18.295848846435547,20.00162124633789,27.071889877319336,144.9359130859375,20.862091064453125,40.01265335083008,72.60426330566406,14.525663375854492,43.810455322265625,33.26303482055664,38.08687210083008,22.10439682006836,21.94449234008789,14.59375,47.04478073120117,15.305000305175781,35.868499755859375,30.211214065551758,18.23999786376953,14.011134147644043,27.99713897705078,39.48257827758789
2008-04-02,55.25489044189453,37.194374084472656,32.82579040527344,4.516170501708984,56.59856414794922,53.24560546875,51.02851104736328,18.28119659423828,19.682594299316406,26.774961471557617,144.9440155029297,20.628633499145508,39.90188980102539,71.55719757080078,14.446331024169922,43.43799591064453,32.991912841796875,37.919551849365234,21.400659561157227,21.69157600402832,14.258118629455566,46.60830307006836,15.574999809265137,35.4356689453125,29.969514846801758,18.322052001953125,14.172598838806152,27.42900276184082,39.76000213623047
2008-04-03,54.749515533447266,37.21828842163086,32.145294189453125,4.6423258781433105,56.07567596435547,52.269004821777344,51.150970458984375,17.74653434753418,19.715145111083984,26.749507904052734,144.6654052734375,20.671083450317383,39.90880584716797,72.31135559082031,14.499223709106445,43.411399841308594,33.020450592041016,37.638484954833984,22.127479553222656,21.572559356689453,14.453207969665527,46.60169219970703,15.699999809265137,35.04541015625,30.127866744995117,18.375141143798828,14.895781517028809,27.4649600982666,40.1031379699707
