ATVI,ADBE,AMD,ABNB,ALGN,GOOGL,GOOG,AMZN,AEP,AMGN,ADI,ANSS,AAPL,AMAT,ASML,TEAM,ADSK,ADP,BIDU,BIIB,BKNG,AVGO,CDNS,CHTR,CTAS,CSCO,CTSH,CMCSA,CPRT,COST,CRWD,CSX,DDOG,DXCM,DOCU,DLTR,EBAY,EA,EXC,FAST,FISV,FTNT,GILD,HON,IDXX,ILMN,INTC,INTU,ISRG,JD,KDP,KLAC,KHC,LRCX,LCID,LULU,MAR,MRVL,MTCH,MELI,FB,MCHP,MU,MSFT,MRNA,MDLZ,MNST,NTES,NFLX,NVDA,NXPI,ORLY,OKTA,PCAR,PANW,PAYX,PYPL,PTON,PEP,PDD,QCOM,REGN,ROST,SGEN,SIRI,SWKS,SPLK,SBUX,SNPS,TMUS,TSLA,TXN,VRSN,VRSK,VRTX,WBA,WDAY,XEL,XLNX,ZM,ZS
91.13871765136719,497.45001220703125,92.29000091552734,148.42999267578125,524.3200073242188,1736.25,1739.52001953125,3285.85009765625,78.6851806640625,220.35302734375,143.78306579589844,362.32000732421875,132.9006805419922,86.36605072021484,487.2175598144531,234.0399932861328,299.4100036621094,170.56996154785156,219.6300048828125,243.5800018310547,2205.260009765625,422.290283203125,135.25,653.489990234375,347.104248046875,43.212867736816406,80.05103302001953,50.30463409423828,126.54000091552734,371.6143798828125,210.2899932861328,29.774736404418945,99.30999755859375,362.7699890136719,225.89999389648438,107.80000305175781,49.99341583251953,141.34671020507812,40.54434585571289,48.020442962646484,112.87999725341797,148.02000427246094,54.32917785644531,207.40585327148438,496.9599914550781,364.0899963378906,47.517879486083984,373.4989013671875,271.76666259765625,89.5199966430664,31.19518280029297,257.1717834472656,33.256103515625,480.0756530761719,10.069999694824219,350.7799987792969,130.47000122070312,47.34857940673828,152.0,1712.93994140625,271.8699951171875,67.63606262207031,71.74311065673828,219.83724975585938,111.12999725341797,56.76555252075195,91.45999908447266,95.17863464355469,524.5900268554688,131.34278869628906,157.65248107910156,451.79998779296875,260.5199890136719,83.16224670410156,355.7900085449219,89.88607025146484,231.50999450683594,154.9600067138672,143.12826538085938,179.11000061035156,147.23617553710938,478.29998779296875,121.3021469116211,183.6999969482422,6.34177827835083,150.8935546875,172.3800048828125,104.24673461914062,256.9100036621094,133.27999877929688,694.780029296875,158.96060180664062,214.5,204.5399627685547,232.67999267578125,37.8928337097168,236.92999267578125,63.85407257080078,141.83465576171875,353.3999938964844,201.30999755859375
92.40259552001953,500.1199951171875,91.70999908447266,146.8000030517578,534.3800048828125,1752.6400146484375,1751.8800048828125,3256.929931640625,80.38418579101562,223.02047729492188,145.30764770507812,363.79998779296875,131.8769989013672,85.69085693359375,485.0395812988281,233.8699951171875,305.3399963378906,172.9154052734375,216.24000549316406,244.86000061035156,2227.27001953125,425.22320556640625,136.42999267578125,661.5499877929688,350.305419921875,43.47517395019531,80.91996765136719,51.47359848022461,127.25,373.9267272949219,211.82000732421875,29.913179397583008,98.44000244140625,369.7200012207031,222.3000030517578,108.04000091552734,49.69671630859375,142.88906860351562,40.824764251708984,47.78557205200195,113.86000061035156,148.52999877929688,55.87321472167969,209.12646484375,499.8699951171875,370.0,48.56083679199219,377.7754821777344,272.70001220703125,87.9000015258789,31.37165069580078,255.94595336914062,33.24650955200195,468.0056457519531,10.010000228881836,348.0299987792969,131.9199981689453,47.38845443725586,151.19000244140625,1675.219970703125,273.1600036621094,68.28874206542969,74.9950942993164,220.57110595703125,104.47000122070312,57.22555160522461,92.4800033569336,95.0198745727539,540.72998046875,130.43606567382812,157.27662658691406,452.57000732421875,254.25999450683594,83.5593032836914,355.3900146484375,90.90062713623047,234.1999969482422,151.72000122070312,144.0901641845703,177.6699981689453,149.58294677734375,483.1099853515625,121.61903381347656,175.13999938964844,6.30220365524292,151.02198791503906,169.88999938964844,105.24031829833984,259.239990234375,134.85000610351562,705.6699829101562,160.35775756835938,216.39999389648438,206.3390655517578,236.33999633789062,38.41297149658203,239.61000061035156,64.84615325927734,141.50526428222656,337.32000732421875,199.7100067138672
89.46681213378906,485.3399963378906,92.30000305175781,139.14999389648438,526.4600219726562,1726.1300048828125,1728.239990234375,3186.6298828125,78.71414184570312,219.8583221435547,143.62570190429688,357.6700134277344,128.6171112060547,86.2568359375,497.2521057128906,231.55999755859375,296.8399963378906,165.8103790283203,216.8000030517578,242.9499969482422,2164.080078125,412.95745849609375,135.75999450683594,647.030029296875,340.5334167480469,43.054039001464844,78.42176818847656,49.617008209228516,120.6500015258789,377.27117919921875,200.49000549316406,29.003419876098633,91.2300033569336,357.739990234375,222.41000366210938,106.94000244140625,50.93294906616211,138.8192901611328,39.80945587158203,46.63081359863281,111.91999816894531,145.55999755859375,57.647422790527344,204.4562530517578,491.7699890136719,367.760009765625,48.41462326049805,369.66998291015625,266.6666564941406,86.33000183105469,30.969701766967773,257.3497009277344,32.83404541015625,473.7037353515625,10.039999961853027,356.3999938964844,124.7699966430664,46.16237258911133,149.9199981689453,1640.0,268.94000244140625,67.82890319824219,73.86788177490234,215.88043212890625,111.7300033569336,56.687255859375,90.5999984741211,95.98228454589844,522.8599853515625,131.0205841064453,160.2736053466797,453.9700012207031,250.6699981689453,82.04850006103516,351.6600036621094,88.14961242675781,231.9199981689453,145.9600067138672,140.17457580566406,166.77999877929688,145.81243896484375,482.8599853515625,115.93470764160156,168.42999267578125,6.10433292388916,148.8882293701172,166.3699951171875,101.42340087890625,254.6999969482422,132.42999267578125,729.77001953125,158.49163818359375,213.5800018310547,201.657470703125,229.42999267578125,39.877052307128906,228.0800018310547,63.86379623413086,142.16403198242188,359.9800109863281,196.08999633789062
90.25300598144531,485.69000244140625,92.7699966430664,148.3000030517578,543.6500244140625,1740.050048828125,1740.9200439453125,3218.510009765625,78.60795593261719,220.92530822753906,146.19290161132812,359.8299865722656,130.20729064941406,88.9675521850586,502.5826110839844,234.4199981689453,301.70001220703125,165.34915161132812,214.0,246.38999938964844,2188.070068359375,415.75439453125,136.13999938964844,636.5900268554688,345.7762451171875,43.07362365722656,78.64888000488281,49.32096481323242,120.12999725341797,372.89459228515625,211.24000549316406,29.494558334350586,93.02999877929688,368.75,228.5,107.12999725341797,51.457115173339844,140.62034606933594,39.751441955566406,47.247337341308594,112.36000061035156,141.74000549316406,57.541934967041016,204.95770263671875,497.260009765625,374.8999938964844,49.330867767333984,366.85540771484375,268.3500061035156,95.5,31.01871681213379,262.7472229003906,32.20096206665039,490.0844421386719,10.020000457763672,366.5,126.08999633789062,47.458229064941406,150.2899932861328,1650.0,270.9700012207031,69.31720733642578,77.06997680664062,216.08865356445312,109.18000030517578,56.74597930908203,91.41999816894531,100.77445220947266,520.7999877929688,133.93052673339844,163.86402893066406,451.2799987792969,249.5500030517578,82.75547790527344,350.1499938964844,87.81792449951172,234.91000366210938,148.52999877929688,140.59234619140625,187.1999969482422,149.67129516601562,483.45001220703125,116.03373718261719,169.0,6.173586845397949,154.40040588378906,166.72000122070312,101.75788116455078,258.8900146484375,131.85000610351562,735.1099853515625,159.65428161621094,206.5,200.75294494628906,228.5800018310547,39.64588165283203,225.36000061035156,63.24129867553711,143.96066284179688,360.8299865722656,193.47999572753906
87.57596588134766,466.30999755859375,90.33000183105469,142.77000427246094,540.3900146484375,1722.8800048828125,1735.2900390625,3138.3798828125,79.23542785644531,226.2505645751953,146.85189819335938,349.8999938964844,125.8243179321289,90.18888092041016,487.5258483886719,224.47999572753906,302.8699951171875,164.77011108398438,203.97000122070312,247.75,2249.81005859375,413.1905212402344,130.63999938964844,624.510009765625,347.8574523925781,43.4849739074707,79.14259338378906,49.89331817626953,117.80000305175781,367.2178649902344,208.85000610351562,30.2790584564209,91.33000183105469,375.9200134277344,223.85000610351562,112.97000122070312,52.63401794433594,136.12271118164062,41.04716110229492,48.04979705810547,114.18000030517578,138.11000061035156,59.412044525146484,208.69384765625,483.6000061035156,376.54998779296875,49.80847930908203,359.02838134765625,264.2633361816406,88.18000030517578,31.136362075805664,262.1738586425781,32.555877685546875,492.0069580078125,10.010000228881836,363.25,129.38999938964844,46.361732482910156,148.80999755859375,1571.97998046875,263.30999755859375,70.64728546142578,76.92034912109375,210.4856414794922,116.26000213623047,56.6383171081543,90.69999694824219,102.79847717285156,500.489990234375,126.03491973876953,166.8807830810547,465.17999267578125,239.72000122070312,86.009521484375,345.2799987792969,88.9202880859375,226.8300018310547,143.75999450683594,138.8726043701172,176.75,148.45375061035156,470.0899963378906,121.10408020019531,166.75,6.450607776641846,156.5637969970703,161.60000610351562,102.49568176269531,249.6999969482422,131.52999877929688,755.97998046875,160.4456787109375,199.50999450683594,198.8544464111328,226.64999389648438,41.44709396362305,220.0,64.64190673828125,140.956298828125,344.4100036621094,184.4199981689453
89.2379150390625,477.739990234375,95.16000366210938,151.27000427246094,558.3599853515625,1774.3399658203125,1787.25,3162.159912109375,77.12132263183594,226.99746704101562,153.05844116210938,365.0199890136719,130.11785888671875,93.89253997802734,498.6742248535156,233.3800048828125,315.20001220703125,165.70242309570312,207.88999938964844,250.44000244140625,2239.85009765625,430.6034240722656,137.0500030517578,629.77001953125,351.89117431640625,44.03343200683594,79.93254089355469,49.99199676513672,120.87000274658203,365.1338195800781,221.47000122070312,30.99433708190918,96.63999938964844,387.1600036621094,239.02999877929688,114.75,52.47577667236328,140.043212890625,40.64103698730469,48.646751403808594,114.43000030517578,143.25,59.95869827270508,209.03797912597656,495.19000244140625,382.4100036621094,50.87092971801758,366.6167297363281,269.4033203125,87.91999816894531,31.323514938354492,275.0052490234375,32.32086181640625,509.8147277832031,10.029999732971191,367.2900085449219,130.35000610351562,48.86373519897461,152.86000061035156,1597.969970703125,268.739990234375,73.52498626708984,78.91543579101562,216.47543334960938,115.08999633789062,56.530662536621094,93.5,111.01362609863281,508.8900146484375,133.32354736328125,173.0824432373047,469.8999938964844,250.8300018310547,85.61246490478516,363.1099853515625,89.29098510742188,235.0399932861328,154.0,138.42567443847656,180.1199951171875,152.8821258544922,481.20001220703125,120.8366928100586,176.36000061035156,6.35167121887207,160.70285034179688,163.0399932861328,101.6693344116211,258.8399963378906,133.19000244140625,816.0399780273438,164.0802001953125,200.0,199.7589569091797,232.89999389648438,43.59505844116211,226.2100067138672,63.37747573852539,149.43045043945312,342.5,193.0500030517578
90.86006927490234,485.1000061035156,94.58000183105469,149.77000427246094,570.530029296875,1797.8299560546875,1807.2099609375,3182.699951171875,76.4359359741211,231.3333282470703,154.169921875,374.6600036621094,131.24090576171875,94.88548278808594,505.9440612792969,235.47999572753906,319.8500061035156,167.8614044189453,240.25,252.5399932861328,2281.5400390625,432.78857421875,136.19000244140625,634.3800048828125,347.02496337890625,44.131370544433594,80.91996765136719,50.86039733886719,122.18000030517578,367.1385498046875,223.72999572753906,31.590953826904297,99.94000244140625,388.0899963378906,244.5399932861328,112.97000122070312,53.8801383972168,141.15765380859375,40.815086364746094,49.66450500488281,116.79000091552734,148.13999938964844,60.45738983154297,206.50132751464844,513.2000122070312,379.6099853515625,50.34458541870117,373.01190185546875,272.9166564941406,91.54000091552734,31.520517349243164,279.9381103515625,32.24892044067383,497.1005554199219,10.029999732971191,365.4599914550781,129.69000244140625,48.92354202270508,151.7899932861328,1719.0,267.57000732421875,72.88220977783203,77.22958374023438,217.7943878173828,112.75,56.95151138305664,94.98999786376953,113.67263793945312,510.3999938964844,132.6516571044922,173.1219940185547,477.9200134277344,253.1199951171875,85.03137969970703,366.54998779296875,89.76899719238281,242.4600067138672,158.8800048828125,140.0871124267578,180.77000427246094,153.8050994873047,498.7300109863281,121.2229232788086,177.66000366210938,5.847099781036377,161.49313354492188,165.39999389648438,103.95161437988281,262.79998779296875,135.05999755859375,880.02001953125,167.22618103027344,202.44000244140625,199.6893768310547,237.0,43.546897888183594,227.64999389648438,63.961063385009766,147.71365356445312,349.6099853515625,197.3699951171875
90.4719467163086,474.239990234375,97.25,148.1300048828125,557.0399780273438,1756.2900390625,1766.719970703125,3114.2099609375,76.04978942871094,230.44093322753906,155.70433044433594,373.3299865722656,128.1897430419922,97.26853942871094,505.1584167480469,230.6699981689453,317.80999755859375,165.36875915527344,219.5500030517578,267.5199890136719,2221.27001953125,432.9051208496094,134.69000244140625,641.1300048828125,336.47003173828125,44.42518997192383,79.1327133178711,50.840660095214844,120.87000274658203,361.25341796875,232.24000549316406,31.640398025512695,104.25,370.6400146484375,240.9600067138672,112.43000030517578,53.33619689941406,140.52084350585938,40.476661682128906,49.4002799987793,115.05000305175781,148.1699981689453,59.94910430908203,204.85939025878906,506.54998779296875,372.4800109863281,50.23736572265625,370.90008544921875,271.2166748046875,90.37999725341797,30.890108108520508,285.80023193359375,31.510324478149414,511.81640625,13.199999809265137,361.6600036621094,128.66000366210938,50.0798454284668,151.89999389648438,1761.550048828125,256.8399963378906,73.08492279052734,78.47650909423828,215.68209838867188,117.26000213623047,55.87492370605469,92.94000244140625,108.34469604492188,499.1000061035156,136.09613037109375,171.32183837890625,483.8299865722656,252.1999969482422,85.4381332397461,364.79998779296875,88.77395629882812,237.5,152.33999633789062,138.0564422607422,172.49000549316406,153.28469848632812,502.9200134277344,119.6978530883789,179.0399932861328,5.8767805099487305,160.08053588867188,166.50999450683594,102.89900970458984,260.42999267578125,132.92999267578125,811.1900024414062,167.37274169921875,199.14999389648438,196.67762756347656,234.63999938964844,45.9453010559082,228.8300018310547,62.63826370239258,150.79788208007812,337.7099914550781,198.6999969482422
88.8199462890625,471.6499938964844,95.36000061035156,160.8000030517578,552.8800048828125,1737.4300537109375,1746.550048828125,3120.830078125,75.14237213134766,229.49034118652344,156.4813690185547,373.2699890136719,128.0108642578125,99.3040771484375,511.1054992675781,234.19000244140625,320.1300048828125,165.9084930419922,239.4499969482422,267.3900146484375,2196.340087890625,436.4304504394531,133.72000122070312,621.489990234375,336.4403076171875,44.8463249206543,78.63899993896484,49.35057067871094,121.83000183105469,361.44195556640625,233.58999633789062,31.60743522644043,105.58000183105469,360.1700134277344,262.6499938964844,114.18000030517578,55.422969818115234,138.3715362548828,40.68939208984375,50.515892028808594,111.19999694824219,152.91000366210938,59.53672409057617,205.37063598632812,496.7300109863281,361.2799987792969,51.89439392089844,364.25592041015625,262.80999755859375,88.54000091552734,30.890108108520508,287.65869140625,30.867650985717773,531.59619140625,14.149999618530273,356.92999267578125,127.38999938964844,50.47856521606445,153.57000732421875,1810.0899658203125,251.08999633789062,73.83155059814453,79.26457214355469,213.1433563232422,124.55000305175781,56.10002517700195,93.98999786376953,106.6083984375,494.25,134.72984313964844,174.16055297851562,495.3999938964844,256.1400146484375,86.63902282714844,370.4800109863281,88.50080108642578,237.63999938964844,156.0399932861328,137.41519165039062,169.47999572753906,151.65475463867188,505.75,119.98505401611328,180.3699951171875,5.817419052124023,156.25755310058594,167.00999450683594,101.14795684814453,258.5799865722656,128.69000244140625,849.4400024414062,168.33998107910156,198.5800018310547,195.45504760742188,229.3800048828125,46.19573974609375,225.6199951171875,61.665618896484375,146.3961181640625,356.80999755859375,205.89999389648438
89.33743286132812,472.04998779296875,91.77999877929688,169.99000549316406,551.1400146484375,1747.25,1754.4000244140625,3165.889892578125,75.4416275024414,230.6058349609375,155.88136291503906,375.5799865722656,130.08804321289062,97.35791015625,511.2348327636719,229.8699951171875,314.3299865722656,161.5905303955078,236.94000244140625,266.6700134277344,2182.419921875,438.19793701171875,134.1199951171875,618.010009765625,332.8129577636719,44.42518997192383,78.609375,49.49858856201172,119.0999984741211,364.171142578125,226.4199981689453,31.195409774780273,104.8499984741211,362.54998779296875,255.85000610351562,112.47000122070312,55.09659957885742,135.6649932861328,41.38559341430664,49.615577697753906,110.23999786376953,147.89999389648438,59.01884078979492,203.54188537597656,497.5799865722656,362.0,55.51062774658203,363.5486145019531,270.48333740234375,90.44000244140625,31.18561363220215,286.7789001464844,30.704580307006836,521.7460327148438,16.719999313354492,352.1400146484375,126.51000213623047,50.0798454284668,155.02000427246094,1798.18994140625,251.63999938964844,74.5138931274414,79.71347045898438,214.54165649414062,124.05999755859375,56.14896011352539,91.87000274658203,106.21154022216797,507.7900085449219,135.1994171142578,175.48594665527344,482.80999755859375,256.6000061035156,86.14511108398438,365.79998779296875,87.36917114257812,244.89999389648438,167.4199981689453,138.54225158691406,164.8000030517578,154.57101440429688,511.8999938964844,118.00444030761719,176.69000244140625,5.827311992645264,155.9710693359375,170.64999389648438,101.2168197631836,257.1400146484375,128.5,854.4099731445312,167.47042846679688,199.39999389648438,195.69361877441406,227.10000610351562,47.139686584472656,229.07000732421875,63.2315788269043,140.90638732910156,364.6300048828125,207.0800018310547
