Date,^NDX
2020-12-30,12845.3603515625
2020-12-31,12888.2802734375
2021-01-04,12694.66015625
2021-01-05,12802.3798828125
2021-01-06,12623.349609375
2021-01-07,12939.5703125
2021-01-08,13105.2001953125
2021-01-11,12902.490234375
2021-01-12,12892.08984375
2021-01-13,12973.6298828125
2021-01-14,12898.6904296875
2021-01-15,12803.9296875
2021-01-19,12996.5400390625
2021-01-20,13296.4501953125
2021-01-21,13404.990234375
2021-01-22,13366.400390625
2021-01-25,13483.2900390625
2021-01-26,13490.1904296875
2021-01-27,13112.650390625
2021-01-28,13201.5302734375
2021-01-29,12925.3798828125
2021-02-01,13248.900390625
2021-02-02,13456.1201171875
2021-02-03,13402.3701171875
2021-02-04,13560.8896484375
2021-02-05,13603.9599609375
2021-02-08,13695.01953125
2021-02-09,13687.080078125
2021-02-10,13655.26953125
2021-02-11,13734.349609375
2021-02-12,13807.7001953125
2021-02-16,13773.76953125
2021-02-17,13699.7099609375
2021-02-18,13637.509765625
2021-02-19,13580.7802734375
2021-02-22,13223.740234375
2021-02-23,13194.7099609375
2021-02-24,13302.1904296875
2021-02-25,12828.3095703125
2021-02-26,12909.4404296875
2021-03-01,13282.9501953125
2021-03-02,13059.9501953125
2021-03-03,12683.330078125
2021-03-04,12464.0
2021-03-05,12668.509765625
2021-03-08,12299.080078125
2021-03-09,12794.490234375
2021-03-10,12752.0703125
2021-03-11,13052.900390625
2021-03-12,12937.2900390625
2021-03-15,13082.5400390625
2021-03-16,13152.2802734375
2021-03-17,13202.3798828125
2021-03-18,12789.1396484375
2021-03-19,12866.990234375
2021-03-22,13086.509765625
2021-03-23,13017.7900390625
2021-03-24,12798.8798828125
2021-03-25,12780.509765625
2021-03-26,12979.1201171875
2021-03-29,12965.740234375
2021-03-30,12896.5302734375
2021-03-31,13091.4404296875
2021-04-01,13329.51953125
2021-04-05,13598.16015625
2021-04-06,13578.4599609375
2021-04-07,13616.7001953125
2021-04-08,13758.509765625
2021-04-09,13845.0595703125
2021-04-12,13819.349609375
2021-04-13,13986.490234375
2021-04-14,13803.91015625
2021-04-15,14026.1904296875
2021-04-16,14041.91015625
2021-04-19,13907.669921875
2021-04-20,13809.2998046875
2021-04-21,13935.150390625
2021-04-22,13762.3603515625
2021-04-23,13941.4404296875
2021-04-26,14026.16015625
2021-04-27,13960.2802734375
2021-04-28,13901.6201171875
2021-04-29,13970.2001953125
2021-04-30,13860.759765625
2021-05-03,13799.7197265625
2021-05-04,13544.669921875
2021-05-05,13503.3701171875
2021-05-06,13613.73046875
2021-05-07,13719.6298828125
2021-05-10,13359.080078125
2021-05-11,13351.26953125
2021-05-12,13001.6298828125
2021-05-13,13109.150390625
2021-05-14,13393.1201171875
2021-05-17,13312.91015625
2021-05-18,13217.6796875
2021-05-19,13237.91015625
2021-05-20,13494.08984375
2021-05-21,13411.740234375
2021-05-24,13641.75
2021-05-25,13657.73046875
2021-05-26,13702.740234375
2021-05-27,13657.849609375
2021-05-28,13686.509765625
2021-06-01,13654.58984375
2021-06-02,13675.7900390625
2021-06-03,13529.6796875
2021-06-04,13770.76953125
2021-06-07,13802.8896484375
2021-06-08,13810.8603515625
2021-06-09,13814.9404296875
2021-06-10,13960.349609375
2021-06-11,13998.2998046875
2021-06-14,14128.2001953125
2021-06-15,14030.41015625
2021-06-16,13983.009765625
2021-06-17,14163.8095703125
2021-06-18,14049.580078125
2021-06-21,14137.23046875
2021-06-22,14270.419921875
2021-06-23,14274.240234375
2021-06-24,14365.9599609375
2021-06-25,14345.1796875
2021-06-28,14524.98046875
2021-06-29,14572.75
2021-06-30,14554.7998046875
2021-07-01,14560.0498046875
2021-07-02,14727.6298828125
2021-07-06,14786.3603515625
2021-07-07,14810.5400390625
2021-07-08,14722.1396484375
2021-07-09,14826.08984375
2021-07-12,14877.8896484375
2021-07-13,14874.5400390625
2021-07-14,14900.4404296875
2021-07-15,14794.6904296875
2021-07-16,14681.3798828125
2021-07-19,14549.08984375
